id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,accommodates,first_review,review_scores_value,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_rating,maximum_nights,listing_url,host_is_superhost,host_response_time,host_response_rate
948772424382991941,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,529270465,Maria,Santiago,-33.43844610405206,-70.6396742367399,Private room,22.400000000000002,1,0,,,1,269,0,Private room in rental unit,1,,,,,,,,,365,https://www.airbnb.com/rooms/948772424382991941,f,within an hour,100%
948776336457488933,Rental unit in Lo Barnechea · ★5.0 · 3 bedrooms · 7 beds · 2 baths,529331112,Claudia,Lo Barnechea,-33.312395909433654,-70.24136681109667,Entire home/apt,396.42900000000003,2,5,2023-09-02,3.75,1,0,5,Entire rental unit,8,2023-08-15,4.83,4.83,5.0,5.0,4.83,4.83,5.0,365,https://www.airbnb.com/rooms/948776336457488933,f,within a few hours,90%
950824833742272984,Rental unit in Las Condes · ★New · 1 bedroom · 1 bed · 1 bath,529915807,Nelson,Las Condes,-33.4052384,-70.58511709999999,Private room,36.0,2,0,,,1,89,0,Private room in rental unit,2,,,,,,,,,365,https://www.airbnb.com/rooms/950824833742272984,f,,
948804878697595706,Rental unit in Santiago · ★New · 3 bedrooms · 3 beds · 2 baths,317472101,Andes STR,Vitacura,-33.3992182,-70.59892099999999,Entire home/apt,96.60000000000001,2,1,2023-08-27,1.0,80,273,1,Entire rental unit,6,2023-08-27,5.0,5.0,5.0,5.0,4.0,3.0,5.0,365,https://www.airbnb.com/rooms/948804878697595706,f,within an hour,99%
950909221210741240,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,16831507,Eduardo,Ñuñoa,-33.452095083056726,-70.61280595768979,Entire home/apt,33.557,3,0,,,1,89,0,Entire rental unit,2,,,,,,,,,150,https://www.airbnb.com/rooms/950909221210741240,f,within a few hours,100%
951059724442987677,Rental unit in Santiago · ★4.60 · 2 bedrooms · 2 beds · 2 baths,287196445,HomChile,Santiago,-33.43406993995496,-70.65690757566142,Entire home/apt,39.573,2,5,2023-09-16,4.41,47,361,5,Entire rental unit,3,2023-08-21,4.4,5.0,4.2,4.8,4.6,4.6,4.6,45,https://www.airbnb.com/rooms/951059724442987677,f,within an hour,100%
949101797307637589,Serviced apartment in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,325605287,Luis,Santiago,-33.450112961526266,-70.64932535452853,Shared room,13.714,1,4,2023-09-19,2.5,2,14,4,Shared room in serviced apartment,1,2023-08-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3,https://www.airbnb.com/rooms/949101797307637589,f,within an hour,95%
951059969597243672,Rental unit in Santiago · ★New · 2 bedrooms · 2 beds · 2 baths,287196445,HomChile,Santiago,-33.43336,-70.65847,Entire home/apt,39.573,2,1,2023-09-01,1.0,47,363,1,Entire rental unit,3,2023-09-01,5.0,5.0,4.0,5.0,5.0,5.0,5.0,235,https://www.airbnb.com/rooms/951059969597243672,f,within an hour,100%
949102572571490937,Rental unit in Ñuñoa · ★New · 2 bedrooms · 2 beds · 1 bath,529221694,Tomas,Ñuñoa,-33.4539786,-70.5770187,Entire home/apt,45.0,5,2,2023-08-27,1.62,1,117,2,Entire rental unit,3,2023-08-18,3.5,4.0,4.5,4.0,5.0,5.0,4.0,365,https://www.airbnb.com/rooms/949102572571490937,f,within an hour,100%
951176913447107372,Rental unit in Ñuñoa · ★New · 1 bedroom · 1 bed · 1 shared bath,494499359,Antonia Amaranta,Ñuñoa,-33.46214040214816,-70.60517408042602,Shared room,12.256,1,1,2023-08-14,0.73,1,269,1,Shared room in rental unit,2,2023-08-14,1.0,1.0,3.0,1.0,2.0,1.0,1.0,365,https://www.airbnb.com/rooms/951176913447107372,f,within a few hours,100%
949151202156305444,Rental unit in Providencia · ★5.0 · 1 bedroom · 1 bed · 2 baths,496537536,Felipe,Providencia,-33.4309965,-70.5911438,Entire home/apt,75.0,2,3,2023-09-12,2.14,1,256,3,Entire rental unit,3,2023-08-13,5.0,4.67,5.0,5.0,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/949151202156305444,f,within an hour,100%
951359044400506401,Rental unit in Ñuñoa · ★5.0 · 1 bedroom · 2 beds · 1 private bath,173866096,Andres,Ñuñoa,-33.45087569076422,-70.59610839933157,Private room,17.5,1,5,2023-09-06,3.95,1,244,5,Private room in rental unit,2,2023-08-17,5.0,4.8,5.0,4.8,5.0,5.0,5.0,1125,https://www.airbnb.com/rooms/951359044400506401,f,within a few hours,90%
949224074220113744,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,33026012,Juan,Estación Central,-33.451202461200005,-70.69361025514426,Private room,25.0,2,5,2023-09-03,3.0,3,74,5,Private room in rental unit,2,2023-08-05,5.0,5.0,4.8,5.0,5.0,5.0,5.0,365,https://www.airbnb.com/rooms/949224074220113744,f,within a few hours,80%
949237453784975583,Rental unit in Las Condes · ★New · 3 bedrooms · 5 beds · 2 baths,50182944,Ariel,Las Condes,-33.4174493,-70.5572592,Entire home/apt,61.927,3,0,,,1,292,0,Entire rental unit,6,,,,,,,,,365,https://www.airbnb.com/rooms/949237453784975583,f,within a few hours,100%
951377083733024644,Rental unit in Las Condes · ★New · 2 bedrooms · 2 beds · 2 baths,528767,Lilian,Las Condes,-33.42377626767089,-70.59221170914712,Entire home/apt,85.0,1,0,,,1,266,0,Entire rental unit,3,,,,,,,,,365,https://www.airbnb.com/rooms/951377083733024644,f,within an hour,100%
951399571309576395,Rental unit in Santiago · ★New · 1 bedroom · 1 bed · 1 bath,530064323,Nelty,Santiago,-33.4450003,-70.6398268,Private room,24.0,1,0,,,1,270,0,Private room in rental unit,2,,,,,,,,,365,https://www.airbnb.com/rooms/951399571309576395,f,within a day,100%
949264086050074434,Yurt in Vitacura · ★New · 1 bedroom · 1 bed · 1 bath,90870601,Francisco,Vitacura,-33.36247758228068,-70.55918154215027,Private room,20.0,5,0,,,3,149,0,Private room in yurt,2,,,,,,,,,365,https://www.airbnb.com/rooms/949264086050074434,f,within an hour,100%
